subject,session,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN13MA,2,21,gestures/horse_S.mp4,w_lk,a,G,horse,1,20,1.1476885,a,TRUE
AN13MA,2,22,gestures/boy_S.mp4,bo_k,o,G,boy,1,21,1.4245206,o,TRUE
AN13MA,2,23,gestures/frog_S.mp4,j_mp,u,G,frog,1,22,1.4538804,u,TRUE
AN13MA,2,24,gestures/cat_S.mp4,n_se,o,G,cat,1,23,1.2789555,o,TRUE
AN13MA,2,25,gestures/car_S.mp4,whe_l,e,G,car,1,24,1.3967034,e,TRUE
AN13MA,2,26,gestures/baby_S.mp4,bl_nket,a,G,baby,1,25,1.5851707,a,TRUE
AN13MA,2,27,gestures/cat_S.mp4,ta_l,i,G,cat,1,26,1.6290877,i,TRUE
AN13MA,2,28,gestures/dog_S.mp4,to_th,o,G,dog,1,27,1.7375259,o,TRUE
AN13MA,2,29,gestures/frog_S.mp4,fo_t,o,G,frog,1,28,2.1446886,o,TRUE
AN13MA,2,30,gestures/girl_S.mp4,wh_stle,i,G,girl,1,29,2.8953247,a,FALSE
AN13MA,2,31,gestures/horse_S.mp4,mo_th,u,G,horse,1,30,2.6331282,u,TRUE
AN13MA,2,32,gestures/frog_S.mp4,list_n,e,G,frog,1,31,2.1367972,e,TRUE
AN13MA,2,33,gestures/cat_PL.mp4,lo_k,o,S,cat,1,32,1.1971159,o,TRUE
AN13MA,2,34,gestures/boy_POS.mp4,bo_k,o,S,boy,1,33,1.3891355,o,TRUE
AN13MA,2,35,gestures/girl_POS.mp4,dr_ss,e,S,girl,1,34,1.3149905,e,TRUE
AN13MA,2,36,gestures/cat_POS.mp4,ta_l,i,S,cat,1,35,1.8115138,i,TRUE
AN13MA,2,37,gestures/cat_POS.mp4,n_se,o,S,cat,1,36,1.3644437,o,TRUE
AN13MA,2,38,gestures/boy_PL.mp4,po_nt,i,S,boy,1,37,1.2681174,i,TRUE
AN13MA,2,39,gestures/horse_PL.mp4,w_lk,a,S,horse,1,38,1.1170809,a,TRUE
AN13MA,2,40,gestures/dog_PL.mp4,pl_y,a,S,dog,1,39,1.0321293,a,TRUE
AN13MA,2,41,gestures/dog_POS.mp4,n_ck,e,S,dog,1,40,1.136118,a,FALSE
AN13MA,2,42,gestures/horse_POS.mp4,mo_th,u,S,horse,1,41,1.4686576,u,TRUE
AN13MA,2,43,gestures/car_PL.mp4,m_ve,o,S,car,1,42,1.3736389,o,TRUE
AN13MA,2,44,gestures/baby_PL.mp4,sm_le,i,S,baby,1,43,1.212462,i,TRUE
AN13MA,2,45,gestures/car_POS.mp4,whe_l,e,S,car,1,44,1.8170854,e,TRUE
AN13MA,2,46,gestures/baby_PL.mp4,cr_wl,a,S,baby,1,45,2.0536094,a,TRUE
AN13MA,2,47,gestures/frog_PL.mp4,j_mp,u,S,frog,1,46,1.1552885,u,TRUE
AN13MA,2,48,gestures/baby_POS.mp4,t_ddy,e,S,baby,1,47,1.2991008,e,TRUE
AN13MA,2,49,gestures/boy_PL.mp4,w_ve,a,S,boy,1,48,1.8128399,a,TRUE
AN13MA,2,50,gestures/cat_PL.mp4,sl_ep,e,S,cat,1,49,1.068024,e,TRUE
AN13MA,2,51,gestures/dog_PL.mp4,b_rk,a,S,dog,1,50,1.979028,a,TRUE
AN13MA,2,52,gestures/baby_POS.mp4,bl_nket,a,S,baby,1,51,1.3191895,a,TRUE
AN13MA,2,53,gestures/girl_PL.mp4,h_g,u,S,girl,1,52,1.1487197,u,TRUE
AN13MA,2,54,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1,53,1.49836,i,TRUE
AN13MA,2,55,gestures/car_POS.mp4,wind_w,o,S,car,1,54,1.4453506,o,TRUE
AN13MA,2,56,gestures/horse_PL.mp4,k_ck,i,S,horse,1,55,1.4999946,i,TRUE
AN13MA,2,57,gestures/dog_POS.mp4,to_th,o,S,dog,1,56,1.3865287,o,TRUE
AN13MA,2,58,gestures/car_PL.mp4,cr_sh,a,S,car,1,57,1.149502,a,TRUE
AN13MA,2,59,gestures/frog_POS.mp4,fo_t,o,S,frog,1,58,1.4872499,o,TRUE
AN13MA,2,60,gestures/girl_POS.mp4,ha_r,i,S,girl,1,59,1.5746212,i,TRUE
AN13MA,2,61,gestures/frog_PL.mp4,list_n,e,S,frog,1,60,1.7339483,e,TRUE
AN13MA,2,62,gestures/frog_POS.mp4,tong_e,u,S,frog,1,61,2.4675243,u,TRUE
AN13MA,2,63,gestures/girl_PL.mp4,wh_stle,i,S,girl,1,62,3.31073,i,TRUE
AN13MA,2,64,gestures/horse_POS.mp4,h_ad,e,S,horse,1,63,2.6544664,e,TRUE
AN32MA,1,1,gestures/frog_POS.mp4,tong_e,u,S,frog,1,0,3.578794,a,FALSE
AN32MA,1,2,gestures/car_POS.mp4,wind_w,o,S,car,1,1,1.4171175,o,TRUE
AN32MA,1,3,gestures/girl_PL.mp4,wh_stle,i,S,girl,1,2,3.8432994,e,FALSE
AN32MA,1,4,gestures/baby_PL.mp4,sm_le,i,S,baby,1,3,2.0171726,i,TRUE
AN32MA,1,5,gestures/horse_PL.mp4,w_lk,a,S,horse,1,4,2.0851805,o,FALSE
AN32MA,1,6,gestures/cat_POS.mp4,n_se,o,S,cat,1,5,1.4163781,o,TRUE
