"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct","age"
"203","D19",11,"gestures/horse_POS.mp4","mo_th","u","S","horse",1,10,1.2200797,"u",TRUE,19
"204","D19",12,"gestures/girl_PL.mp4","h_g","u","S","girl",1,11,1.3757628,"u",TRUE,19
"205","D19",13,"gestures/cat_PL.mp4","sl_ep","e","S","cat",1,12,1.2032536,"e",TRUE,19
"206","D19",14,"gestures/frog_PL.mp4","list_n","e","S","frog",1,13,1.6321559,"e",TRUE,19
"207","D19",15,"gestures/cat_POS.mp4","n_se","o","S","cat",1,14,1.0976388,"o",TRUE,19
"208","D19",16,"gestures/dog_POS.mp4","n_ck","e","S","dog",1,15,1.7204769,"e",TRUE,19
"209","D19",17,"gestures/horse_POS.mp4","h_ad","e","S","horse",1,16,1.4689821,"e",TRUE,19
"210","D19",18,"gestures/baby_PL.mp4","sm_le","i","S","baby",1,17,1.2891057,"i",TRUE,19
"211","D19",19,"gestures/car_PL.mp4","m_ve","o","S","car",1,18,0.95408225,"o",TRUE,19
"212","D19",20,"gestures/baby_POS.mp4","bl_nket","a","S","baby",1,19,1.0749094,"a",TRUE,19
"213","D19",21,"gestures/dog_PL.mp4","b_rk","a","S","dog",1,20,1.4018124,"o",FALSE,19
"214","D19",22,"gestures/dog_POS.mp4","to_th","o","S","dog",1,21,1.2312807,"o",TRUE,19
"215","D19",23,"gestures/horse_PL.mp4","k_ck","i","S","horse",1,22,1.2470201,"i",TRUE,19
"216","D19",24,"gestures/girl_POS.mp4","dr_ss","e","S","girl",1,23,1.1330128,"e",TRUE,19
"217","D19",25,"gestures/boy_POS.mp4","bo_k","o","S","boy",1,24,1.1062684,"o",TRUE,19
"218","D19",26,"gestures/horse_PL.mp4","w_lk","a","S","horse",1,25,1.3055197,"a",TRUE,19
"219","D19",27,"gestures/cat_POS.mp4","ta_l","i","S","cat",1,26,1.5537356,"i",TRUE,19
"220","D19",28,"gestures/baby_POS.mp4","t_ddy","e","S","baby",1,27,1.3294563,"e",TRUE,19
"221","D19",29,"gestures/frog_POS.mp4","fo_t","o","S","frog",1,28,1.3067977,"o",TRUE,19
"222","D19",30,"gestures/dog_PL.mp4","pl_y","a","S","dog",1,29,1.1747034,"a",TRUE,19
"223","D19",31,"gestures/boy_POS.mp4","t-sh_rt","i","S","boy",1,30,1.6654372,"i",TRUE,19
"224","D19",32,"gestures/cat_PL.mp4","lo_k","o","S","cat",1,31,1.2057041,"o",TRUE,19
"225","D19",33,"gestures/cat_S.mp4","n_se","o","G","cat",1,32,1.1528585,"o",TRUE,19
"226","D19",34,"gestures/baby_S.mp4","sm_le","i","G","baby",1,33,1.1376052,"i",TRUE,19
"227","D19",35,"gestures/car_S.mp4","cr_sh","a","G","car",1,34,1.117201,"a",TRUE,19
"228","D19",36,"gestures/girl_S.mp4","ha_r","i","G","girl",1,35,1.0906048,"i",TRUE,19
"229","D19",37,"gestures/baby_S.mp4","bl_nket","a","G","baby",1,36,1.1749732,"a",TRUE,19
"230","D19",38,"gestures/frog_S.mp4","tong_e","u","G","frog",1,37,1.254908,"u",TRUE,19
"231","D19",39,"gestures/girl_S.mp4","dr_ss","e","G","girl",1,38,1.3200703,"e",TRUE,19
"232","D19",40,"gestures/cat_S.mp4","lo_k","o","G","cat",1,39,1.1608862,"o",TRUE,19
"233","D19",41,"gestures/dog_S.mp4","to_th","o","G","dog",1,40,1.1377313,"o",TRUE,19
"234","D19",42,"gestures/horse_S.mp4","mo_th","u","G","horse",1,41,1.3265557,"u",TRUE,19
"235","D19",43,"gestures/dog_S.mp4","pl_y","a","G","dog",1,42,1.2691243,"a",TRUE,19
"236","D19",44,"gestures/boy_S.mp4","t-sh_rt","i","G","boy",1,43,1.4446913,"i",TRUE,19
"237","D19",45,"gestures/frog_S.mp4","j_mp","u","G","frog",1,44,1.269536,"u",TRUE,19
"238","D19",46,"gestures/boy_S.mp4","w_ve","a","G","boy",1,45,1.172359,"a",TRUE,19
"239","D19",47,"gestures/frog_S.mp4","fo_t","o","G","frog",1,46,1.2701948,"o",TRUE,19
"240","D19",48,"gestures/dog_S.mp4","n_ck","e","G","dog",1,47,2.3771846,"e",TRUE,19
"241","D19",49,"gestures/cat_S.mp4","sl_ep","e","G","cat",1,48,1.3591386,"e",TRUE,19
"242","D19",50,"gestures/frog_S.mp4","list_n","e","G","frog",1,49,1.2188191,"e",TRUE,19
"243","D19",51,"gestures/girl_S.mp4","h_g","u","G","girl",1,50,1.365522,"u",TRUE,19
"244","D19",52,"gestures/boy_S.mp4","po_nt","i","G","boy",1,51,1.1789477,"i",TRUE,19
"245","D19",53,"gestures/horse_S.mp4","h_ad","e","G","horse",1,52,1.3881102,"e",TRUE,19
"246","D19",54,"gestures/cat_S.mp4","ta_l","i","G","cat",1,53,1.2846663,"i",TRUE,19
"247","D19",55,"gestures/dog_S.mp4","b_rk","a","G","dog",1,54,1.564348,"a",TRUE,19
"248","D19",56,"gestures/girl_S.mp4","wh_stle","i","G","girl",1,55,1.3599899,"i",TRUE,19
"249","D19",57,"gestures/horse_S.mp4","w_lk","a","G","horse",1,56,1.1534901,"a",TRUE,19
"250","D19",58,"gestures/baby_S.mp4","cr_wl","a","G","baby",1,57,1.1129233,"a",TRUE,19
"251","D19",59,"gestures/car_S.mp4","whe_l","e","G","car",1,58,1.0699879,"e",TRUE,19
"252","D19",60,"gestures/baby_S.mp4","t_ddy","e","G","baby",1,59,1.2691728,"e",TRUE,19
