"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct"
"50","D01",50,"gestures/car_POS.mp4","wind_w","o","S","car",1,49,0.95204246,"o",TRUE
"51","D01",51,"gestures/frog_PL.mp4","list_n","e","S","frog",1,50,1.0449177,"e",TRUE
"52","D01",52,"gestures/horse_PL.mp4","k_ck","i","S","horse",1,51,0.8853425,"i",TRUE
"53","D01",53,"gestures/boy_POS.mp4","bo_k","o","S","boy",1,52,0.92486715,"o",TRUE
"54","D01",54,"gestures/girl_PL.mp4","h_g","u","S","girl",1,53,1.0933414,"u",TRUE
"55","D01",55,"gestures/car_POS.mp4","whe_l","e","S","car",1,54,1.055879,"e",TRUE
"56","D01",56,"gestures/dog_PL.mp4","b_rk","a","S","dog",1,55,1.0958725,"a",TRUE
"57","D01",57,"gestures/girl_POS.mp4","dr_ss","e","S","girl",1,56,0.8330048,"e",TRUE
"58","D01",58,"gestures/girl_POS.mp4","ha_r","i","S","girl",1,57,1.1451089,"i",TRUE
"59","D01",59,"gestures/car_PL.mp4","m_ve","o","S","car",1,58,0.96914446,"o",TRUE
"60","D01",60,"gestures/dog_POS.mp4","to_th","o","S","dog",1,59,0.8930938,"o",TRUE
"61","D01",61,"gestures/baby_POS.mp4","t_ddy","e","S","baby",1,60,1.0476316,"e",TRUE
"62","D01",62,"gestures/girl_PL.mp4","wh_stle","i","S","girl",1,61,1.0525844,"i",TRUE
"63","D01",63,"gestures/boy_PL.mp4","po_nt","i","S","boy",1,62,1.008847,"i",TRUE
"64","D01",64,"gestures/dog_PL.mp4","pl_y","a","S","dog",1,63,1.1324685,"a",TRUE
"65","D02",1,"gestures/horse_POS.mp4","mo_th","u","S","horse",1,0,1.1011149,"u",TRUE
"66","D02",2,"gestures/cat_PL.mp4","lo_k","o","S","cat",1,1,0.80337983,"o",TRUE
"67","D02",3,"gestures/frog_POS.mp4","tong_e","u","S","frog",1,2,0.8705289,"u",TRUE
"68","D02",4,"gestures/cat_POS.mp4","n_se","o","S","cat",1,3,1.631881,"o",TRUE
"69","D02",5,"gestures/car_POS.mp4","wind_w","o","S","car",1,4,0.827337,"o",TRUE
"70","D02",6,"gestures/boy_PL.mp4","w_ve","a","S","boy",1,5,1.083996,"a",TRUE
"71","D02",7,"gestures/car_PL.mp4","m_ve","o","S","car",1,6,0.75571895,"o",TRUE
"72","D02",8,"gestures/car_POS.mp4","whe_l","e","S","car",1,7,0.96511024,"e",TRUE
"73","D02",9,"gestures/dog_PL.mp4","pl_y","a","S","dog",1,8,0.90907395,"a",TRUE
"74","D02",10,"gestures/horse_PL.mp4","w_lk","a","S","horse",1,9,0.8629048,"a",TRUE
"75","D02",11,"gestures/boy_POS.mp4","t-sh_rt","i","S","boy",1,10,0.9952073,"i",TRUE
"76","D02",12,"gestures/cat_POS.mp4","ta_l","i","S","cat",1,11,1.0225688,"i",TRUE
"77","D02",13,"gestures/girl_POS.mp4","dr_ss","e","S","girl",1,12,0.8681114,"e",TRUE
"78","D02",14,"gestures/girl_POS.mp4","ha_r","i","S","girl",1,13,0.8687053,"i",TRUE
